Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
localTup,5.5441024713607334e-5,5.521057268466472e-5,5.574528262177294e-5,8.64390710575322e-7,6.258229792250451e-7,1.2367543904642692e-6
toplvl,5.3477839297461476e-5,5.329771393812385e-5,5.3691185873416476e-5,6.492589814938103e-7,5.300981996950288e-7,8.259722854656336e-7
local,5.520984120650281e-5,5.497347097379253e-5,5.5678994707911936e-5,1.1398135208914177e-6,6.852782310255921e-7,1.989770551122857e-6
