Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
toplvl,5.933273108160418e-4,5.886585548942329e-4,5.998395386852747e-4,1.8627143163864403e-5,1.468839062168213e-5,2.631754617845215e-5
local,4.415002171084286e-5,4.3609299984749886e-5,4.472969094250381e-5,2.0448808008891266e-6,1.6992712222404165e-6,2.4520976639024e-6
localTup,1.663182045233856e-4,1.6492033854637104e-4,1.683475111928888e-4,5.625612573147388e-6,4.028783383009023e-6,8.981157161628325e-6
