Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
3,4.660336792321746e-5,4.58945929001941e-5,4.736647798038398e-5,2.2999137481424808e-6,1.9389955730751317e-6,3.166754376666836e-6
4,5.9015278202289334e-5,5.837549827128365e-5,5.97476508441732e-5,2.4497733144856423e-6,2.163831286281298e-6,2.7854902306602696e-6
5,6.913046715833789e-5,6.825641723032838e-5,7.03631759374977e-5,3.6551722802132325e-6,2.7737980202413667e-6,5.773900366952088e-6
6,8.334251352895164e-5,8.239558675866666e-5,8.447191521514053e-5,3.442164458043869e-6,2.796055168430979e-6,4.0955280866389665e-6
7,9.365681512369e-5,9.245588791480629e-5,9.517272881088288e-5,4.734826827101149e-6,4.0490552032396995e-6,5.6151641947435666e-6
8,1.0470096932019969e-4,1.0321448568531891e-4,1.0656121984574154e-4,5.524229163081197e-6,4.723342704739524e-6,6.487327880688922e-6
9,1.1921177543460519e-4,1.176174540577297e-4,1.2151426979048223e-4,6.3388757365897124e-6,4.735352345882736e-6,1.021863297749748e-5
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
1,2.0956310971254695e-5,2.0810372144084187e-5,2.1248815226689347e-5,6.476823900257577e-7,3.897601758428229e-7,1.078234735158405e-6
2,3.119190734457624e-5,3.095486625729206e-5,3.1538587483148746e-5,9.634703856275498e-7,7.353196151823626e-7,1.3217507766345439e-6
3,4.303270157239238e-5,4.2688233672552345e-5,4.347232009560645e-5,1.3748037712331204e-6,1.1570848138646773e-6,1.7486351385882418e-6
4,5.502903542167085e-5,5.430055608652636e-5,5.607157558245191e-5,2.9414817754568317e-6,2.016321429263549e-6,4.106055314476661e-6
5,6.54990593273613e-5,6.470616818178317e-5,6.653967517625294e-5,2.8628773912665947e-6,2.305100808720406e-6,4.226799714881646e-6
6,7.585621542612556e-5,7.486667814376731e-5,7.70020116575885e-5,3.3420684923239907e-6,2.514141864519898e-6,4.619093546561728e-6
7,9.484186330387611e-5,9.36453493511936e-5,9.615652523548665e-5,4.232546002038365e-6,3.233311872207636e-6,5.892519268080358e-6
8,9.895041478154866e-5,9.756186303091885e-5,1.0061634607145754e-4,5.026401193553146e-6,3.9239783220991104e-6,6.769661199125012e-6
9,1.0491630067464474e-4,1.041085258859936e-4,1.0628147634593924e-4,3.6473229473371713e-6,1.9756234674397925e-6,5.8422112098269736e-6
10,1.2005335983755999e-4,1.1842122981316261e-4,1.2249871605603168e-4,6.483308509463626e-6,4.334882452455016e-6,1.052508643085685e-5

=== mono types ===
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
1,5.635435998470616e-7,5.611939919169387e-7,5.668414363577625e-7,9.304075307859851e-9,7.3822003524424324e-9,1.3419514922657233e-8
2,6.96276498389107e-7,6.935033563671023e-7,6.996738648177576e-7,1.0568617313307454e-8,7.654072839466407e-9,1.4216828222252435e-8
3,7.433133230784604e-7,7.399319566799843e-7,7.474070520242622e-7,1.2780270179528755e-8,1.0128009776502187e-8,1.5994606059563968e-8
4,7.003831533999457e-7,6.964529711781647e-7,7.05595625521713e-7,1.5107240802284985e-8,1.1739825218175152e-8,1.8530979656645566e-8
5,7.511521162437356e-7,7.462689712543485e-7,7.56820297650833e-7,1.837771744197929e-8,1.5252947925454885e-8,2.2766604017243398e-8
6,7.436021275517552e-7,7.390545773996394e-7,7.530549838260048e-7,2.1429238339118636e-8,1.2245505140916254e-8,3.5717911106059216e-8
7,7.3999795229934e-7,7.374111174779643e-7,7.437343546839971e-7,1.0421172502910074e-8,8.302028517821556e-9,1.2574089196898737e-8
8,7.025705865825412e-7,6.979965155879434e-7,7.090667673975549e-7,1.731801755817164e-8,1.3670369600346168e-8,2.217115436706492e-8
9,7.525481505363638e-7,7.46671115538791e-7,7.593348610103908e-7,2.0571422162759278e-8,1.709510559839829e-8,2.6049189908865325e-8
10,7.481032659829313e-7,7.431246750030028e-7,7.581322500952809e-7,2.3162320651352685e-8,1.2442624503723587e-8,4.546454986499833e-8
== tup
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
2,6.679177612371721e-7,6.643797338542517e-7,6.723241474550662e-7,1.3855373845448442e-8,9.892981306834664e-9,2.220103035784116e-8
4,6.977650440829623e-7,6.942679214978902e-7,7.042221639652677e-7,1.5980572316007967e-8,1.073453426301677e-8,2.4854894477327202e-8
6,7.460601494647302e-7,7.416468290335968e-7,7.551479083135882e-7,2.0449756748982567e-8,1.425385212935035e-8,2.8962309153755364e-8
8,7.052439692362033e-7,7.002320630214749e-7,7.151571308246368e-7,2.1528595179507567e-8,1.528887403620294e-8,3.331343969568935e-8
10,7.450200814113886e-7,7.420130652512868e-7,7.487302405206515e-7,1.0836093935720946e-8,7.864334957151845e-9,1.4797838817433742e-8
12,7.578690224145873e-7,7.523941660349852e-7,7.640629466701832e-7,1.965170042729527e-8,1.568851182579811e-8,2.4675843713624168e-8
14,7.538517943348854e-7,7.486435367674668e-7,7.622300643155764e-7,2.1775386734923255e-8,1.5981828390591736e-8,2.8586164049534587e-8
16,7.04448150208008e-7,7.006086363813083e-7,7.105522742892268e-7,1.6067081260592343e-8,1.1375101455788384e-8,2.4072294241207316e-8
18,7.446831760223028e-7,7.421021595577392e-7,7.49752175126673e-7,1.1500997662097147e-8,7.656662188874739e-9,1.8138973331874062e-8
20,7.539410275129343e-7,7.49236542666139e-7,7.618246312833153e-7,2.0797673509168555e-8,1.4447903168107852e-8,2.8538473298507373e-8
---
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
1,2.7421309172749445e-5,2.7344114939498265e-5,2.7582418710756952e-5,3.719774284097685e-7,1.8005684710353346e-7,7.313258428058563e-7
2,5.9693246621203276e-5,5.947503681618343e-5,5.9942346194509864e-5,7.802429882760992e-7,6.451713152719435e-7,9.441250601861234e-7
3,8.410140771018018e-5,8.361240068889448e-5,8.49704136821458e-5,2.0267262632053264e-6,1.3967413242725895e-6,3.1601992515383557e-6
4,1.1684337610991366e-4,1.158425673625197e-4,1.1827533001556983e-4,4.002626312147658e-6,3.1552392563902107e-6,4.969267098895892e-6
5,1.7201468052551976e-4,1.703858601092061e-4,1.7384978038152577e-4,5.532693191058479e-6,4.512979842318861e-6,6.93862009420936e-6
6,2.4056712200911732e-4,2.3950123412071615e-4,2.4193781799141883e-4,4.331064954451291e-6,3.4780178730628447e-6,5.403688943600678e-6
7,4.0757486706782543e-4,4.0454269819067984e-4,4.110148730522501e-4,1.043779295101444e-5,8.6778701294021e-6,1.2798965091718008e-5
8,5.807646183440474e-4,5.773474264185243e-4,5.855751536176499e-4,1.4041069165291799e-5,1.0902149089613901e-5,1.7640240834969975e-5
